Date,Close,HMM_Regime,HMM_Prob_0,HMM_Prob_1,HMM_Prob_2
2005-07-04,1194.43994140625,0,0.99235381107032,0.007646156199426519,3.273172517109105e-08
2005-07-05,1204.989990234375,0,0.9929156136285191,0.00708433373860845,5.2631737344543916e-08
2005-07-06,1194.93994140625,0,0.9919202520718939,0.00807970775339588,4.0173974944014624e-08
2005-07-07,1197.8699951171875,0,0.9936302732743652,0.0063697023777707275,2.434939048137135e-08
2005-07-08,1211.8599853515625,0,0.9951442744381017,0.0048557207124114155,4.849683468672746e-09
2005-07-11,1219.43994140625,0,0.9995681749351891,0.0004318248307009686,2.349996869481916e-10
2005-07-12,1222.2099609375,0,0.9999498845652752,5.0115424170721615e-05,1.106023313450191e-11
2005-07-13,1223.2900390625,0,0.9999639070885525,3.609290982652285e-05,9.82258982020658e-13
2005-07-14,1226.5,0,0.9999688387814202,3.116121749333887e-05,1.0040081013087906e-12
2005-07-15,1227.9200439453125,0,0.9999633047303067,3.6695265588895345e-05,2.4572148502129063e-12
2005-07-18,1221.1300048828125,0,0.9998697698943965,0.0001302301009857833,5.141590735112617e-12
2005-07-19,1229.3499755859375,0,0.9999109652801714,8.903471162004737e-05,9.151934151516819e-12
2005-07-20,1235.199951171875,0,0.9999581145243744,4.188546795379191e-05,8.535943206788748e-12
2005-07-21,1227.0400390625,0,0.9998992128683495,0.000100787130025104,3.1604172240760784e-12
2005-07-22,1233.6800537109375,0,0.9999588990183136,4.110098030088391e-05,2.716609843099119e-12
2005-07-25,1229.030029296875,0,0.999966314731701,3.368526673769226e-05,8.203086679983445e-13
2005-07-26,1231.1600341796875,0,0.9999782747467918,2.172525238047906e-05,4.058404700322297e-13
2005-07-27,1236.7900390625,0,0.999979240700595,2.075929843577542e-05,2.868028250264336e-13
2005-07-28,1243.719970703125,0,0.9999820418427552,1.795815810769447e-05,9.398587458449376e-13
2005-07-29,1234.1800537109375,0,0.9999478218058334,5.217819124930393e-05,1.181423499174632e-12
2005-08-01,1235.3499755859375,0,0.9999715726483136,2.8427349800316446e-05,7.320626436876268e-13
2005-08-02,1244.1199951171875,0,0.9999773251899201,2.2674808036056336e-05,4.428560413873724e-13
2005-08-03,1245.0400390625,0,0.9999862364822035,1.376351572240685e-05,7.30707921511732e-13
2005-08-04,1235.8599853515625,0,0.9999509016063834,4.90983895066443e-05,4.8194588050905845e-12
